Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
91,90;I;Radio SorRriso;Bassano del Grappa/Frazione Rubbio-Cima Forcella;vi;160;190;346;;21.09.24;;5372 ;SORRRISO [title_] [artist];;
92,00;I;Radio Icaro-inBlu;Gemmano/Monte Gardo;rn;50.1;37;135;;21.09.24;X;5A4B 544B;_ICARO__;;
92,00;I;RTL 102.5;Castel San Pietro Terme/Monte Calderaro-Chiesa di San Martino;bo;79.4;65;292;;19.08.24;X;5218 ;RTL102.5;;
92,10;I;RAI GR Parlamento;Bassano del Grappa/Frazione Rubbio-Cima Forcella;vi;400;190;346;;28.12.24;;5206 ;RAI_GRPR;;
92,20;I;RDS;Talamello/Monte Pincio;rn;1.3;26;177;;30.01.25;;5264 ;*_RDS_*_;;
92,20;I;RAI Radio2;Tredozio-Cesata (RAI);fc;0.4;40;264;;31.05.25;;5202 ;*Radio2_;;
92,30;I;RTL 102.5;Modigliana/Monte Trebbio;fc;63.1;33;270;;19.08.24;X;5218 ;RTL102.5;;
92,30;I;RAI Radio3;Sirolo/Monte Conero (RAI);an;100;127;121;;21.12.25;;5203 ;*Radio3_;;
92,40;I;Radio Bruno;Bassano del Grappa/Contrada Pizzati, 43/A;vi;631;190;346;;09.04.25;;534D ;'R.BRUNO;;
92,40;I;Radio Bruno;Valdobbiadene/Pianezze-Strada Frascada, 4;tv;100;199;355;;30.05.25;;534D ;'R.BRUNO;;
92,40;I;RAI Radio3;Villanuova sul Clisi/Località Selvapiana (RAI);bs;20;217;320;;16.04.25;;5203 ;*Radio3_;;
92,50;I;Radio Gamma (Romagna);Rimini/San Fortunato;rn;25.1;27;117;;21.09.24;;5843 5943;R_GAMMA_;;
92,50;I;RAI Radio3;Sant'Agata Feltria/Monte San Silvestro (RAI);rn;0.25;32;183;;16.01.26;;5203 ;*Radio3_;;
92,50;I;Radio Kiss Kiss;Castel San Pietro Terme/Monte Calderaro-Chiesa di San Martino;bo;31.6;65;292;;19.08.24;X;5225 ;KISSKISS;;
92,60;I;RAI Radio1 Emilia Romagna;Predappio/Riggiano-Monte Camerona (RAI);fc;0.4;22;261;;21.09.24;;5201 ;*Radio1_;;
92,60;I;Radio Arancia;Falconara/Località Barcaglione;an;7.9;110;122;;07.08.25;;5571 5671;*AranciA;;
92,60;I;Radio Bellla e Monella;Attimis/Località Porzus 1;ud;63.1;243;20;;05.03.26;;5370 ;BELLLA_E _MONELLA;;
