Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

kHz;ITU;Program;Location;Reg;kW;QRB;QTF;O;Date;Remarks
621,00;E;RNE Radio Nacional Illes Balears;Palma/Marratxí;BAL-ML;40;937;241;;04.10.24;
630,00;TUN;RTT Radio Nationale;Tunis/Djedeida;tun;300;835;194;;04.10.24;
639,00;E;RNE Radio Nacional Aragón;Zaragoza/Cuarte Torrero (RNE);ARA-Z;50;1105;260;;04.10.24;
648,00;G;Radio Caroline;Orfordness (ND);EN-SFK;4;1186;322;;04.10.24;
648,00;SVN;Radio Murski Val;Cerklje;ms;10;418;46;;04.10.24;
657,00;E;RNE Radio 5 Madrid;Madrid/Majadahonda;MAD-M;100;1384;259;;04.10.24;
666,00;IRN;IRIB Radio Fars;Shiraz/Dehnow;frs;400;3901;101;;21.12.25;
666,00;LTU;Radio Signal;Kaunas/Sitkknai;Kau;25;1467;30;;04.10.24;
684,00;E;RNE Radio Nacional Sevilla;Sevilla/Los Palacios;AND-SE;100;1710;249;;04.10.24;
693,00;G;BBC Radio 5 Live;Droitwich/Mast A;EN-WOR;150;1393;316;;04.10.24;
702,00;ALG;Radio Laghouat;Laghouat;3;25;1413;218;;04.10.24;// stream
711,00;I;Emmerreci Radio;Castel San Pietro Terme;bo;0.1;60;300;;22.12.25;
711,00;ROU;SRR Radio Romania Actualitai;Sighetu Marmaiei/Vadu Izei;MM;25;993;61;;04.10.24;
720,00;ROU;SRR Radio Romania Actualitai;Baia Mare;MM;5;961;62;;04.10.24;
729,00;GRC;ERT News Radio;Athína/Agios Stefanos;att-est;100;1177;120;;05.01.26;
729,00;E;RNE Radio Nacional Asturias;Oviedo/El Naranco (RNE);AST-O;100;1453;273;;04.10.24;
738,00;E;RNE Radio Nacional Cataluña;Barcelona/Palau de Plegamans;CAT-B;100;868;254;;04.10.24;
756,00;ROU;SRR Radio Romania Actualitai;Lugoj/Boldur;TM;200;771;74;;04.10.24;
774,00;E;RNE Radio Nacional Comunidad Valenciana;València/El Palmar;VAL-V;100;1172;247;;04.10.24;
783,00;E;COPE Barcelona;Barcelona/Ctra.Consería (EAJ39);CAT-B;50;866;253;;22.12.25;
792,00;CZE;Radio Dechovka;Hradec Kralove-stezery;KR;10;727;20;;04.10.24;// stream
801,00;E;RNE Radio Nacional Cataluña;Girona/Campllong;CAT-GI;10;803;255;;04.10.24;
810,00;E;SER Radio Madrid;Madrid/Majadahonda;MAD-M;50;1382;258;;04.10.24;
819,00;I;Radio Calcio FVG;Trieste / Faro Della Vittoria;ts;0.1;207;36;;30.09.24;
837,00;IRN;IRIB Radio Isfahan;Esfahan/Habibabad;esf;400;3622;97;;21.12.25;
837,00;E;COPE Sevilla;Gines;AND-SE;50;1709;250;;04.10.24;
855,00;ROU;SRR Radio Romania Actualitai;Bucureti/Tancabeti;IF;200;1100;82;;22.12.25;
855,00;E;RNE Radio Nacional Murcia;Murcia/Torre de Cotillas (RNE);MUR-MU;75;1317;244;;04.10.24;
864,00;EGY;NMA Al-Quran al-Karim;Santah;ghb;500;2227;126;;21.12.25;
864,00;E;RNE Radio Nacional Ciudad Real;Socuellamos;CAM-CR;5;1357;252;;04.10.24;
873,00;ARS;SBA Quran Radio;Ar Rass;qsm;10;3466;115;;21.12.25;
873,00;E;SER Radio Zaragoza;Zaragoza/EAJ101;ARA-Z;25;1099;260;;04.10.24;
882,00;ARS;SBA Quran Radio;Dammam;shy;100;3905;107;;21.12.25;
882,00;E;COPE Alicante;Alicante=Alacant;VAL-A;5;1237;243;;04.10.24;
891,00;ALG;Radio Algerie Internationale;Alger/Ouled Fayet;16;100;1138;227;;04.10.24;// stream, en
900,00;IRN;IRIB Radio Quran;Tehran;thr;600;3426;93;;04.10.24;
909,00;G;BBC Radio 5 Live;Brookmans Park;EN-HTS;150;1250;317;;21.12.25;
909,00;ROU;SRR Radio Romania Actualitai;Timioara/Sacalaz;TM;25;718;72;;04.10.24;
918,00;CBG;National Radio of Kampuchea;Phnom Penh/Kandal Stueng;pph;600;9331;80;;21.12.25;// internet
927,00;I;Power 927;Abbiategrasso;mi;1;295;299;;21.12.25;
936,00;E;RNE Radio 5 Zaragoza;Zaragoza/Cuarte Torrero (RNE);ARA-Z;25;1105;260;;04.10.24;
945,00;IRN;IRIB Radio Kurdistan;Dehgolan;kdn;100;3136;96;;21.12.25;
945,00;ROU;SRR Radio Romania Actualitai;Miercurea Ciuc;HR;7.5;1089;72;;04.10.24;
